"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"AFRICAM","201A","African American Studies","Interdisciplinary Research Methods","4","4","-","This seminar will provide a detailed introduction and working knowledge of the various methodological techniques appropriate for interdisciplinary research on the African Diaspora.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","201B","African American Studies","Qualitative Research Methods for African American Studies","4","4","-","A review of competing epistemologies in qualitative research of African Americans.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","201D","African American Studies","Theories of the African Diaspora","4","4","-","This course is intended to provide students with an initial background for the composition of the position paper discussing the concept and study of African Diaspora necessary for passing department qualifying exams. It will introduce some of the theoretical frameworks for, and approaches to, scholarship concerning the African Diaspora.","-","Course may be repeated for credit without restriction.","-","-","-"
"AFRICAM","240","African American Studies","Special Topics in Cultural Studies of the Diaspora","1","4","-","One hour of lecture per week per unit. Topics will vary from term to term depending on student demand and faculty availability.","-","Course may be repeated for credit without restriction.","-","-","-"
"AFRICAM","241","African American Studies","Special Topics in Development Studies of the Diaspora","1","4","-","One hour of lecture per week per unit. Topics will vary from term to term depending on student demand and faculty availability.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","242","African American Studies","Special Topics in African Linguistics","4","4","-","Topics will vary to suit student demand or interest. The seminar will require solid grounding in linguistic theory.","-","Course may be repeated for credit without restriction.","-","-","-"
"AFRICAM","250","African American Studies","Black Intellectuals: Social and Cultural Roles","4","4","-","The course will examine the development of an intellectual group in African American life from the 18th century to the present. Implicit in the examination is consideration of the social and cultural roles, writers, scholars, artists, and other thinkers have played in American and African American culture.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","252","African American Studies","Researching Race, Gender and Justice","4","4","-","This course is designed to encourage the development of an intersectional sensibility among scholars working in the area of race, gender and justice, broadly defined. In addition to providing a theoretical and methodological introduction to sociological literature on the practice of intersectionality in research and writing, we will also use a cross-disciplinary and interdisciplinary set of readings, along with discussions and assignments, to examine historical and contemporary trends in how Black women and girls experience institutional and interpersonal threats of violence, policing and punishment; from the convict lease system to the crisis of mass incarceration and ending with a consideration of the experiences of Black women and girls.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","256B","African American Studies","Diaspora, Citizenship, and Transnationality","4","4","-","This seminar analyzes the social construction and reproduction of diasporic communities in the U.S., Canada, and Europe. It examines the relations of the diaspora to the homeland in the context of the globalization process. The role of transnational migration and deterritorialization in the production of bipolar, fragmented, and multiple identities will be analyzed. Postnational models of citizenship--differentiated, transnational, and multicultural--will be assessed in light of poststructuralist theories.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","257A","African American Studies","Identity Politics in the Caribbean and Africa","4","4","-","An exhaustive examination of the conditions under which identity constructs (race, ethnicity, nation, religion, language, region, etc.) come to occupy the symbolic center in the organization of mass political movements in non-industrialized Third World societies. The course will be comparative in scope using case histories from Africa and the Caribbean. It will focus on the relationship between the ""politics of identity,"" national economic decision making, and the distribution of economic, social, cultural, and symbolic capital.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","257B","African American Studies","Power, Domination, and Ideology","4","4","-","This course will focus on theories and realities of power, domination, and ideology as they pertain to issues of identity in the post-World War II political economies of Africa and the African diaspora.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","262","African American Studies","Black Feminist Criticism","4","4","-","This course will focus on the development of a black feminist criticism(s). We will be specifically concerned with the writings of significant black women critics of the 19th and 20th centuries who have used intersections of class, race, and gender to analyze major issues of their time.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","296","African American Studies","Directed Dissertation Research","1","13","-","Open to qualified students who have been advanced to candidacy for the Ph.D. degree and are directly engaged in doctoral dissertation research.","-","Course may be repeated for credit without restriction.","-","-","-"
"AFRICAM","298","African American Studies","Master's Examination Preparation Course","4","4","-","This class is designed to prepare second year graduate students for the spring Master's Examination in African Diaspora Studies. Basing our syllabus upon the established reading list, we will meet weekly to discuss individual texts, methods of interpreting and critiquing works across disciplines, strategies for reading, studying, and ultimately taking the exam itself.","-","Course is not repeatable for credit.","-","-","-"
"AFRICAM","299","African American Studies","Individual Study or Research","1","4","-","Individual study or research program to be worked out with sponsoring faculty before approval by department chair. Regular meetings arranged with faculty sponsor.","-","Course is not repeatable for credit.","-","-","-"
